,serial,star_name,distance,mass,radius
213,13,2MASS J00501994-3322402 [de],34,40,0.94
214,,,,,
215,52,2MASS J04351612-1606574,34,100,1.26
216,,,,,
217,65,2MASS J05591914-1404488 [de],34,,
218,,,,,
219,149,2MASSW J1515008+484742 [de],34,57,0.99
220,,,,,
221,275,WISE 1217+1626A,34.2,12,
222,,,,,
223,276,WISE 1217+1626B,34.2,6,
224,,,,,
225,321,WISE 2030+0749,34.2,,
226,,,,,
227,103,2MASS J1047538+212423 [de],34.4,42,0.94
228,,,,,
229,66,LSR 0602+3910 [de],34.6,28,1.41
230,,,,,
231,252,WISE 0734-7157,34.9,,
232,,,,,
233,29,2MASS J02431371−2453298,35,33,0.99
234,,,,,
235,85,2MASS J08251968+2115521 [de],35,52,0.98
236,,,,,
237,181,2MASS J22282889-4310262,35,42,0.94
238,,,,,
239,142,TVLM 513-46546,35.1,75,1.05
240,,,,,
241,229,WISE 0458+6434A,35.9,15,4.2
242,,,,,
243,230,WISE 0458+6434B,35.9,10,3.8
244,,,,,
245,338,WISE 2313-8037,35.9,,
246,,,,,
247,120,2MASSI J1217110-031113 [de],36,42,0.94
248,,,,,
249,156,SDSSp J162414.37+002915.6 [de],36,43,0.94
250,,,,,
251,313,WISE 1828+2650,36,,
252,,,,,
253,219,WISE 0325+0831,36.5,,
254,,,,,
255,193,WISE 0038+2758,36.9,,
256,,,,,
257,152,2MASS J15462718-3325111 [de],37,44,0.94
258,,,,,
259,246,WISE 0627-1114,37.2,,
260,,,,,
261,320,WISE 1959-3338,37.2,,
262,,,,,
263,244,WISE 0623-0456,37.5,,
264,,,,,
265,340,WISE 2325-4105,37.5,,
266,,,,,
267,3,2MASS J00242463-0158201,37.7,79,1.09
268,,,,,
269,343,WISE 2340-0745,37.8,,
270,,,,,
271,126,SDSSp J125453.90-012247.4 [de],38,47,0.98
272,,,,,
273,135,DENIS-P J142527.97-365023.4 [de],38,21,1.32
274,,,,,
275,180,2MASSW J2224438-015852,38,61,0.99
276,,,,,
277,136,LHS 2924,38.5,76,1.06
278,,,,,
279,256,WISE 0759-4904,38.8,,
280,,,,,
281,45,Teide 1,380,55,3.78
282,,,,,
283,70,2MASS J06244595-4521548 [de],39,56,0.99
284,,,,,
285,164,2MASS J18283572-4849046,39,45,0.95
286,,,,,
287,255,WISE 0751-7634,39.1,,
288,,,,,
289,301,WISE 1653+4444,39.5,,
290,,,,,
291,12,WISEP J004701.06+680352.1 [fr],40,12,1.3
292,,,,,
293,62,2MASS J0523−1403,40,68,1.01
294,,,,,
